,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
1688,Radeon HD 8210E,193,2039,,
1689,Radeon HD 8240,246,1976,,
1690,Radeon HD 8250,212,2015,,
1691,Radeon HD 8280,260,1957,,
1692,Radeon HD 8280E,256,1966,,
1693,Radeon HD 8280G,269,1948,,
1694,Radeon HD 8310E,340,1881,,
1695,Radeon HD 8330,270,1945,,
1696,Radeon HD 8330E,262,1956,,
1697,Radeon HD 8350,162,2080,1.63,$99.81*
1698,Radeon HD 8350G,258,1964,,
1699,Radeon HD 8370D,316,1909,,
1700,Radeon HD 8400,273,1944,,
1701,Radeon HD 8400E,275,1943,,
1702,Radeon HD 8410G,435,1803,,
1703,Radeon HD 8450G,338,1883,,
1704,Radeon HD 8450G + 8600/8700M Dual,1070,1196,,
1705,Radeon HD 8450G + 8600M Dual,545,1672,,
1706,Radeon HD 8450G + 8670M Dual,474,1758,,
1707,Radeon HD 8450G + 8750M Dual,637,1546,,
1708,Radeon HD 8450G + HD 8600M Dual,452,1788,,
1709,Radeon HD 8450G + HD 8670M Dual,477,1751,,
1710,Radeon HD 8450G + HD 8750M Dual,503,1726,,
1711,Radeon HD 8450G + R5 M230 Dual,578,1622,,
1712,Radeon HD 8470,247,1974,,
1713,Radeon HD 8470D,377,1848,,
1714,Radeon HD 8470D + 6450 Dual,717,1462,,
1715,Radeon HD 8470D + 6570 Dual,837,1345,,
1716,Radeon HD 8470D + HD 6450 Dual,862,1326,,
1717,Radeon HD 8470D + HD 6670 Dual,1435,1062,,
1718,Radeon HD 8470D + HD 7500 Dual,1545,1024,,
1719,Radeon HD 8490,263,1955,2.93,$89.99*
1720,Radeon HD 8500M,438,1800,,
1721,Radeon HD 8500M/8700M,852,1336,,
1722,Radeon HD 8510G,371,1856,,
1723,Radeon HD 8510G + 8500M Dual,596,1595,,
1724,Radeon HD 8510G + HD 8500M Dual,629,1556,,
1725,Radeon HD 8550D,566,1643,,
1726,Radeon HD 8550G,417,1817,,
1727,Radeon HD 8550G + 7600M Dual,901,1302,,
1728,Radeon HD 8550G + 8500M Dual,602,1592,,
1729,Radeon HD 8550G + 8570M Dual,532,1689,,
1730,Radeon HD 8550G + 8600/8700M Dual,802,1379,,
1731,Radeon HD 8550G + 8600M Dual,617,1571,,
1732,Radeon HD 8550G + 8670M Dual,579,1621,,
1733,Radeon HD 8550G + 8690M Dual,664,1512,,
1734,Radeon HD 8550G + 8750M Dual,795,1384,,
1735,Radeon HD 8550G + HD 7600M Dual,547,1667,,
1736,Radeon HD 8550G + HD 8500M Dual,558,1651,,
1737,Radeon HD 8550G + HD 8570M Dual,529,1693,,
1738,Radeon HD 8550G + HD 8600/8700M Dual,654,1523,,
1739,Radeon HD 8550G + HD 8600M Dual,593,1600,,
1740,Radeon HD 8550G + HD 8670M Dual,546,1671,,
1741,Radeon HD 8550G + HD 8750M Dual,819,1366,,
1742,Radeon HD 8550G + R5 M200 Dual,619,1568,,
1743,Radeon HD 8550G + R5 M230 Dual,487,1739,,
1744,Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,611,1582,,
1745,Radeon HD 8570,940,1275,9.53,$98.68*
1746,Radeon HD 8570 + 8670D Dual,620,1566,,
1747,Radeon HD 8570 + HD 7660D Dual,949,1265,,
1748,Radeon HD 8570D,431,1805,,
1749,Radeon HD 8570D + 6570 Dual,1239,1120,,
1750,Radeon HD 8570D + 6670 Dual,1039,1215,,
1751,Radeon HD 8570D + HD 6570 Dual,868,1322,,
1752,Radeon HD 8570D + HD 6670 Dual,1260,1116,,
1753,Radeon HD 8570D + HD 7000 Dual,753,1428,,
1754,Radeon HD 8570D + HD 7700 Dual,1834,921,,
1755,Radeon HD 8570D + HD 8470 Dual,338,1884,,
1756,Radeon HD 8570D + HD 8570 Dual,1032,1217,,
1757,Radeon HD 8570D + HD8490 Dual,374,1853,,
1758,Radeon HD 8570D + R5 235 Dual,470,1764,,
1759,Radeon HD 8570D + R7 200 Dual,999,1237,,
