,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
0,256MB DDR Radeon 9800 XT,37,2430,,
1,6FDF:FF,9528,259,,
2,7900 MOD - Radeon HD 6520G,610,1583,,
3,7900 MOD - Radeon HD 6550D,892,1310,,
4,A10-12Q,9493,260,,
5,A10-8Q,7038,340,,
6,A16,5280,433,,
7,A16-1Q,3275,615,,
8,A16-2B,2332,764,,
9,A16-2Q,4747,485,,
10,A16-4Q,4493,507,,
11,A40-24Q,3317,609,,
12,A40-48Q,10436,237,,
13,A6 Micro-6500T Quad-Core APU with RadeonR4,220,2005,,
14,ABIT Siluro T400,3,2625,,
15,ALL-IN-WONDER 9000,4,2592,,
16,ALL-IN-WONDER 9800,23,2498,,
17,ALL-IN-WONDER RADEON 8500DV,5,2578,,
18,All-in-Wonder X1800XL,30,2470,,
19,All-in-Wonder X1900,127,2154,,
20,ALL-IN-WONDER X800 GT,84,2275,,
21,AMD Ryzen Z1 Extreme,6518,360,,
22,AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,2650,,
23,ASUS A7000,9,2538,,
24,ASUS AGP-V3800PRO v31.40H,4,2611,,
25,ASUS EAH4870x2,496,1732,,
26,Asus GTX 650 FML II EC-EGPU,720,1458,,
27,ASUS V9520-X V62.11,7,2549,,
28,B8DKMDAP,4557,498,,
29,Barco MXRT 1450,205,2025,,
30,Barco MXRT 2600,900,1304,4.52,$199.00*
31,Barco MXRT 5400,1161,1160,5.72,$203.00*
32,Barco MXRT 5450,1079,1192,5.4,$199.99*
33,Barco MXRT 5500,2701,694,9.04,$299.00*
34,Barco MXRT 5600,2465,735,3.5,$704.00*
35,Barco MXRT 7100,180,2048,,
36,Barco MXRT 7400,900,1303,9.1,$99.00*
37,Barco MXRT 7500,3753,562,12.55,$299.00*
38,Barco MXRT 7600,4943,468,8.2,$602.59*
39,BASICDISPLAY,69,2317,,
40,Beijing Fantasy Technology Fantasy II-M,259,1961,,
41,CARRIZO 9874,226,1993,,
42,Citrix Indirect Display Adapter,1888,901,,
43,CMP 30HX,6806,348,,
44,CMP 40HX,9136,271,,
45,CONNECT 3D RADEON X300,36,2436,,
46,Custom GPU 0405,2921,663,,
47,Custom GPU 0932,3249,617,,
48,Dell 8100,2,2675,0.0,$999.11*
49,Dell 8200,4,2613,,
50,Diamond X1300-PCIE 256MB,70,2316,,
51,EAH5450,134,2137,1.22,$109.99*
52,EIZO Quadro MED-XN51LP,4951,467,,
53,Embedded Radeon E9173,1773,940,,
54,Eng Sample: 100-000000560-40_Y,5655,401,,
55,Eng Sample: 100-000000561-40_Y,4206,529,,
56,Extreme AX850 PRO,120,2176,,
57,FireGL T2-128,30,2467,,
58,FireGL V3100,52,2362,,
59,FireGL V3200,84,2272,,
60,FireGL V3300,70,2314,,
61,FireGL V3350,68,2322,,
62,FireGL V3400,103,2225,,
63,FireGL V3600,179,2049,1.12,$160.99*
64,FireGL V5100,92,2256,0.81,$114.96*
65,FireGL V5200,114,2193,0.86,$133.40*
66,FireGL V5600,341,1880,1.52,$225.00*
67,FireGL V7100,71,2308,0.22,$328.67*
68,FireGL V7200,116,2187,,
69,FireGL V7300,128,2150,0.11,"$1,189.99*"
70,FireGL V7350,110,2204,0.93,$119.42*
71,FireGL V7600,615,1574,,
72,FireGL V7700,660,1515,9.43,$69.99*
73,FireGL V8600,838,1343,,
74,FireGL V8650,550,1664,1.84,$298.99*
75,FireGL X1,59,2350,,
76,FireMV 2200 PCI,1,2692,,
77,FireMV 2200 PCIe,36,2438,0.4,$89.99*
78,FireMV 2250,45,2392,0.44,$104.00*
79,FireMV 2260,117,2182,1.33,$88.08*
80,FireMV 2400 PCIe,11,2530,,
81,FireMV 2450,73,2302,,
82,FirePro 2260,112,2197,,
83,FirePro 2270,142,2111,1.06,$134.00*
84,FirePro 2450,51,2372,0.57,$89.99*
85,FirePro 2460,170,2064,2.03,$83.99*
86,FirePro 3D V3700,178,2052,2.1,$84.99*
87,FirePro 3D V3750,341,1878,6.71,$50.88*
88,FirePro 3D V3800,472,1762,3.15,$149.99*
89,FirePro 3D V4800,853,1332,5.33,$159.99*
90,FirePro 3D V5700,546,1669,1.71,$319.99*
91,FirePro 3D V5800,1231,1128,6.04,$204.00*
92,FirePro 3D V7750,545,1673,1.56,$350.00*
93,FirePro 3D V7800,1867,909,3.11,$599.99*
94,FirePro 3D V8700,1206,1136,7.09,$170.07*
95,FirePro 3D V8750,1271,1112,1.03,"$1,230.99*"
96,FirePro 3D V8800,2437,737,5.74,$424.99*
97,FirePro 3D V9800,2811,675,1.13,"$2,499.00*"
98,FirePro M2000,425,1809,,
99,FirePro M4000,1595,1008,21.91,$72.83*
100,FirePro M4000 Mobility Pro,1629,992,,
101,FirePro M40003,1364,1083,,
102,Firepro M4100,1059,1203,,
103,FirePro M4150,994,1242,,
104,FirePro M4170,1188,1146,,
105,FirePro M5100,2102,829,,
106,FirePro M5100 FireGL V,1839,919,,
107,FirePro M5950,1314,1097,,
108,FirePro M6000,1820,925,5.58,$325.99*
109,FirePro M6000 Mobility Pro,1712,961,,
110,FirePro M6100,2374,752,,
111,FirePro M6100 FireGL V,2875,668,,
112,FirePro M7740,665,1511,,
113,FirePro R5000,2646,702,24.06,$109.99*
114,FirePro RG220,335,1887,0.52,$650.18*
115,FirePro S10000,4768,482,,
116,FirePro S7000,4523,502,18.35,$246.54*
117,FirePro S7150,3770,559,2.22,"$1,697.99*"
118,FirePro S9000,5059,456,,
119,FirePro S9050,4901,472,,
120,FirePro V3800,320,1902,2.57,$124.99*
121,FirePro V3900,637,1543,2.67,$238.44*
122,FirePro V4900,1005,1231,6.7,$149.99*
123,FirePro V5700,464,1772,2.47,$188.06*
124,FirePro V5800,1180,1148,22.27,$53.00*
125,FirePro V5900,1232,1127,14.33,$86.00*
126,FirePro V7000,3161,632,,
127,FirePro V7800,2028,851,10.68,$190.00*
128,FirePro V7900,2260,787,11.9,$190.00*
129,FirePro V8700,1538,1030,9.75,$157.88*
130,FirePro V8800,2280,779,11.52,$198.00*
131,FirePro V9800,2726,691,5.75,$474.00*
132,FirePro W2100,852,1335,14.45,$59.00*
133,FirePro W4100,1500,1043,8.16,$184.00*
134,FirePro W4170M,1065,1199,,
135,Firepro W4190M,1166,1153,,
136,FirePro W4300,2749,687,11.46,$239.99*
137,FirePro W5000,2955,659,16.06,$184.00*
138,FirePro W5100,2979,654,23.65,$125.99*
139,FirePro W5130M,1343,1090,,
140,Firepro W5170M,1814,928,,
141,FirePro W600,1685,975,4.06,$414.99*
142,FirePro W6150M,2358,759,,
143,FirePro W7000,4255,528,15.3,$278.05*
144,FirePro W7000 Adapter,4359,520,,
145,FirePro W7100,5191,442,13.33,$389.30*
146,FirePro W7170M,3161,633,,
147,FirePro W8000,4259,527,7.43,$573.00*
148,FirePro W8100,6671,356,9.48,$704.00*
149,FirePro W9000,6157,377,7.29,$845.00*
150,FirePro W9100,7747,316,4.48,"$1,729.99*"
151,FireStream 9170,647,1533,,
152,FireStream 9250,1164,1155,,
153,FireStream 9270,1341,1091,,
154,FireStream 9370,2528,725,,
155,GeCube RADEON 7000,8,2540,,
156,GeForce 205,126,2158,,
157,GeForce 210,128,2149,2.37,$54.15*
158,GeForce 240M GT,319,1906,,
159,GeForce 256,5,2588,0.12,$42.04*
160,GeForce 305M,150,2090,,
161,GeForce 310,143,2109,1.32,$108.35*
162,GeForce 310M,126,2159,,
163,GeForce 315,198,2033,6.02,$32.99*
164,GeForce 315M,114,2191,,
165,GeForce 320M,209,2018,,
166,GeForce 405,118,2180,4.79,$24.64*
167,GeForce 410M,267,1950,,
168,GeForce 505,143,2106,1.25,$115.06*
169,GeForce 510,290,1927,4.15,$69.99*
170,GeForce 605,322,1901,2.35,$136.83*
171,GeForce 6100,27,2477,,
172,GeForce 6100 nForce 400,25,2488,,
173,GeForce 6100 nForce 405,26,2479,,
174,GeForce 6100 nForce 420,25,2487,,
175,GeForce 6100 nForce 430,23,2500,,
176,GeForce 610M,292,1925,,
177,GeForce 615,507,1720,,
178,GeForce 6150,21,2503,0.07,$329.00*
179,GeForce 6150 LE,33,2454,,
180,GeForce 6150SE,24,2491,,
181,GeForce 6150SE nForce 430,30,2468,,
182,GeForce 6200,37,2432,0.71,$53.17*
183,GeForce 6200 A-LE,32,2463,,
184,GeForce 6200 LE,32,2460,0.8,$41.24*
185,GeForce 6200 TurboCache,51,2367,,
186,GeForce 6200A,3,2633,0.07,$54.99*
187,GeForce 6200SE TurboCache,37,2434,,
188,GeForce 6500,38,2426,,
189,GeForce 6600,86,2269,0.33,$264.00*
190,GeForce 6600 GT,142,2110,2.2,$64.95*
191,GeForce 6600 LE,51,2370,,
192,GeForce 6610 XL,88,2266,,
193,GeForce 6700 XL,95,2247,,
194,GeForce 6800,112,2198,0.2,$559.29*
195,GeForce 6800 GS,191,2042,,
196,GeForce 6800 GS/XT,102,2227,,
197,GeForce 6800 GT,142,2112,,
198,GeForce 6800 LE,109,2208,,
199,GeForce 6800 Ultra,138,2123,,
200,GeForce 6800 XE,58,2351,,
201,GeForce 6800 XT,120,2172,,
202,GeForce 7000M,13,2524,,
203,GeForce 7000M / nForce 610M,12,2525,,
204,GeForce 7025 / nForce 630a,33,2457,,
205,GeForce 7050 / nForce 610i,25,2485,,
206,GeForce 7050 / nForce 620i,41,2409,,
207,GeForce 7050 / nForce 630i,37,2429,,
208,GeForce 7050 PV / nForce 630a,31,2465,,
209,GeForce 705M,455,1780,,
210,GeForce 7100 / nForce 620i,26,2482,,
211,GeForce 7100 / nForce 630i,41,2407,,
212,GeForce 7100 GS,51,2371,,
213,GeForce 710A,472,1763,,
214,GeForce 710M,452,1786,,
215,GeForce 7150 / nForce 630i,33,2458,,
216,GeForce 7150M / nForce 630M,18,2511,,
217,GeForce 7200 GS,23,2499,,
218,GeForce 720A,577,1624,,
219,GeForce 7300 GS,78,2295,,
220,GeForce 7300 GT,121,2169,0.81,$149.99*
221,GeForce 7300 LE,80,2292,2.5,$32.00*
222,GeForce 7300 SE,39,2424,,
223,GeForce 7300 SE/7200 GS,48,2383,,
224,GeForce 730A,770,1410,,
225,GeForce 7350 LE,74,2301,,
226,GeForce 7500 LE,84,2271,,
227,GeForce 7600 GS,158,2082,1.31,$120.70
228,GeForce 7600 GT,237,1982,1.19,$199.00*
229,GeForce 7650 GS,134,2139,,
230,GeForce 770M,3245,618,18.34,$176.99*
231,GeForce 7800 GS,177,2055,,
232,GeForce 7800 GT,244,1978,3.05,$80.00*
233,GeForce 7800 GTX,290,1926,4.06,$71.60*
234,GeForce 7900 GS,253,1968,,
235,GeForce 7900 GT,258,1963,1.3,$199.00*
236,GeForce 7900 GT/GTO,247,1975,,
237,GeForce 7900 GTX,387,1839,,
238,GeForce 7950 GT,346,1875,1.36,$254.80*
239,GeForce 7950 GX2,201,2028,3.67,$54.99*
240,GeForce 7950 Xtreme,287,1930,,
241,GeForce 800A,476,1754,,
242,GeForce 800M,477,1752,,
243,GeForce 8100 / nForce 720a,79,2294,,
244,GeForce 810A,655,1520,,
245,GeForce 810M,419,1814,,
246,GeForce 8200,163,2079,,
247,GeForce 8200M G,65,2335,,
248,GeForce 820A,555,1655,,
249,GeForce 820M,488,1738,,
250,GeForce 825M,770,1408,,
251,GeForce 8300,101,2231,4.48,$22.68*
252,GeForce 8300 GS,115,2189,,
253,GeForce 830A,1156,1162,,
254,GeForce 830M,1009,1228,,
255,GeForce 8400,81,2287,0.14,$589.99*
256,GeForce 8400 GS,155,2086,1.81,$85.97*
257,GeForce 8400 SE,68,2323,,
258,GeForce 8400M G,105,2218,,
259,GeForce 8400M GS,100,2234,1.29,$78.20*
260,GeForce 8400M GT,66,2331,,
261,GeForce 840A,1123,1171,,
262,GeForce 840M,1097,1181,,
263,GeForce 845M,1488,1047,,
264,GeForce 8500 GT,155,2085,,
265,GeForce 8600 GS,91,2259,,
266,GeForce 8600 GT,131,2142,0.67,$196.00*
267,GeForce 8600 GTS,169,2065,0.7,$241.99*
268,GeForce 8600M GS,88,2267,,
269,GeForce 8600M GT,156,2083,1.45,$108.10*
270,GeForce 8700M GT,124,2161,,
271,GeForce 8800 GS,330,1892,,
272,GeForce 8800 GT,462,1776,2.17,$213.54*
273,GeForce 8800 GTS,407,1825,5.09,$79.99*
274,GeForce 8800 GTS 512,549,1665,,
275,GeForce 8800 GTX,572,1636,4.77,$119.99*
276,GeForce 8800 Ultra,642,1540,0.93,$689.02
277,GeForce 8800M GTS,382,1840,,
278,GeForce 8800M GTX,462,1777,,
279,GeForce 9100,81,2282,,
280,GeForce 9100M G,68,2324,,
281,GeForce 910M,588,1605,,
282,GeForce 9200,169,2068,,
283,GeForce 9200M GE,143,2107,,
284,GeForce 9200M GS,129,2147,,
285,GeForce 920A,833,1349,,
286,GeForce 920M,715,1464,,
287,GeForce 920MX,1068,1197,,
288,GeForce 9300,126,2155,2.15,$59.00*
289,GeForce 9300 / nForce 730i,128,2148,,
290,GeForce 9300 GE,95,2248,4.13,$22.99*
291,GeForce 9300 GS,102,2228,1.71,$59.95*
292,GeForce 9300 SE,81,2286,,
293,GeForce 9300GE,97,2242,1.01,$97.20*
294,GeForce 9300M G,84,2274,,
295,GeForce 9300M GS,118,2179,2.73,$43.42*
296,GeForce 930A,1263,1113,,
297,GeForce 930M,1011,1226,,
298,GeForce 930MX,1286,1107,,
299,GeForce 9400,143,2108,,
300,GeForce 9400 GT,168,2070,2.55,$66.25*
301,GeForce 9400M,101,2232,,
302,GeForce 9400M G,67,2327,,
303,GeForce 940A,1106,1177,,
304,GeForce 940M,1128,1169,,
305,GeForce 940MX,1514,1036,,
306,GeForce 9450,104,2219,,
307,GeForce 945A,1852,914,,
308,GeForce 945M,2108,827,,
309,GeForce 9500 GS,215,2010,,
310,GeForce 9500 GT,177,2054,2.06,$85.99*
311,GeForce 9500M,103,2224,1.02,$101.20*
312,GeForce 9500M G,121,2170,,
313,GeForce 9500M GS,134,2138,,
314,GeForce 9600 GS,281,1938,,
315,GeForce 9600 GSO,323,1900,3.01,$107.39*
316,GeForce 9600 GSO 512,329,1893,,
317,GeForce 9600 GT,475,1756,7.32,$64.99*
318,GeForce 9600M GS,130,2143,,
319,GeForce 9600M GT,149,2093,1.91,$78.20*
320,GeForce 9600M GT / GeForce GT 220M,293,1923,,
321,GeForce 9650M GS,270,1947,,
322,GeForce 9650M GT,137,2127,1.17,$117.30*
323,GeForce 9700M GT,208,2021,,
324,GeForce 9700M GTS,278,1940,,
325,GeForce 9800 GT,453,1784,2.67,$169.54
326,GeForce 9800 GT 1024MB,134,2136,,
327,GeForce 9800 GTX,769,1413,10.26,$74.99*
328,GeForce 9800 GTX+,494,1734,,
329,GeForce 9800 GTX/9800 GTX+,593,1598,6.6,$89.99*
330,GeForce 9800 GX2,612,1581,3.14,$195.00*
331,GeForce 9800 S,635,1548,,
332,GeForce 9800M GS,534,1684,,
333,GeForce 9800M GT,381,1843,,
334,GeForce 9800M GTS,356,1869,,
335,GeForce 9800M GTX,454,1781,1.38,$328.50*
336,GeForce 999 GTX,83,2278,,
337,GeForce FX 5100,7,2548,,
338,GeForce FX 5200,7,2551,0.06,$129.00*
339,GeForce FX 5200 Ultra,12,2528,,
340,GeForce FX 5200LE,7,2555,0.16,$42.99*
341,GeForce FX 5200SE,11,2529,,
342,GeForce FX 5500,8,2543,0.05,$153.97*
343,GeForce FX 5600,12,2526,,
344,GeForce FX 5600 Ultra,17,2517,,
345,GeForce FX 5600XT,9,2539,,
346,GeForce FX 5700,40,2411,,
347,GeForce FX 5700 Ultra,34,2448,,
348,GeForce FX 5700LE,24,2492,,
349,GeForce FX 5700VE,33,2456,,
350,GeForce FX 5900,34,2445,,
351,GeForce FX 5900 Ultra,41,2410,,
352,GeForce FX 5900XT,40,2416,,
353,GeForce FX 5900ZT,32,2461,,
354,GeForce FX 5950 Ultra,59,2349,,
355,GeForce FX Go 5200,8,2541,,
356,GeForce FX Go 5600,17,2515,,
357,GeForce FX Go5300,12,2527,,
358,GeForce FX Go5650,16,2518,,
359,GeForce FX Go5700,51,2369,,
360,GeForce G 103M,62,2342,,
361,GeForce G 105M,62,2339,,
362,GeForce G100,176,2056,8.83,$19.99*
363,GeForce G102M,167,2073,,
364,GeForce G105M,133,2140,,
365,GeForce G200,136,2130,,
366,GeForce G205M,91,2261,,
367,GeForce G210,124,2162,1.02,$122.12*
368,GeForce G210M,129,2146,,
369,GeForce Go 6100,17,2514,,
370,GeForce Go 6150,19,2507,,
371,GeForce Go 6200,15,2521,,
372,GeForce Go 6400,24,2493,,
373,GeForce Go 6600,69,2318,,
374,GeForce Go 6600 TE/6200 TE,44,2397,,
375,GeForce Go 6800,106,2216,,
376,GeForce Go 6800 Ultra,137,2126,,
377,GeForce Go 7200,45,2395,,
378,GeForce Go 7300,52,2365,,
379,GeForce Go 7400,65,2334,,
380,GeForce Go 7600,127,2152,,
381,GeForce Go 7600 GT,210,2017,,
382,GeForce Go 7700,147,2097,,
383,GeForce Go 7800,114,2192,,
384,GeForce Go 7800 GTX,209,2019,,
385,GeForce Go 7900 GS,177,2053,,
386,GeForce Go 7900 GTX,270,1946,,
387,GeForce Go 7950 GTX,263,1954,,
388,GeForce GPU,1161,1159,,
389,GeForce GT 1030,2429,739,21.28,$114.15
390,GeForce GT 120,165,2075,5.53,$29.99*
391,GeForce GT 120 / 9500 GT,324,1896,,
392,GeForce GT 120M,150,2089,,
393,GeForce GT 130,381,1844,2.52,$151.34*
394,GeForce GT 130M,145,2103,,
395,GeForce GT 140,657,1518,,
396,GeForce GT 220,221,2001,5.54,$39.99*
397,GeForce GT 220M,121,2168,,
398,GeForce GT 230,323,1899,7.35,$43.99*
399,GeForce GT 230M,215,2009,,
400,GeForce GT 240,500,1727,3.11,$160.97*
401,GeForce GT 240M,213,2013,,
402,GeForce GT 320,470,1765,14.38,$32.69*
403,GeForce GT 320M,106,2213,,
404,GeForce GT 325M,169,2066,,
405,GeForce GT 330,396,1834,9.92,$39.99*
406,GeForce GT 330M,220,2003,,
407,GeForce GT 335M,374,1852,,
408,GeForce GT 340,738,1443,13.93,$52.99*
409,GeForce GT 415,251,1969,,
410,GeForce GT 415M,286,1931,,
411,GeForce GT 420,425,1808,2.75,$155.00*
412,GeForce GT 420M,393,1836,,
413,GeForce GT 425M,514,1710,,
414,GeForce GT 430,602,1591,4.31,$139.99*
415,GeForce GT 435M,535,1683,,
416,GeForce GT 440,774,1401,3.44,$225.00*
417,GeForce GT 445M,811,1375,,
418,GeForce GT 520,320,1903,1.05,$304.00*
419,GeForce GT 520M,284,1932,9.51,$29.95*
420,GeForce GT 520MX,284,1933,,
421,GeForce GT 525M,453,1783,,
422,GeForce GT 530,666,1508,13.6,$49.00*
423,GeForce GT 540M,478,1747,5.44,$87.95*
424,GeForce GT 545,1109,1176,19.96,$55.59*
425,GeForce GT 550M,569,1639,,
426,GeForce GT 555M,650,1528,3.67,$177.20*
427,GeForce GT 610,324,1897,2.32,$139.99*
428,GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,368,1858,,
429,GeForce GT 620,382,1841,2.48,$154.00*
430,GeForce GT 620M,430,1806,,
431,GeForce GT 625,368,1860,,
432,GeForce GT 625M,484,1743,,
433,GeForce GT 630,682,1492,4.64,$147.01*
434,GeForce GT 630M,531,1690,,
435,GeForce GT 635,816,1369,12.19,$66.94*
436,GeForce GT 635M,550,1661,,
437,GeForce GT 640,1167,1151,10.61,$109.99*
438,GeForce GT 640M,930,1285,,
439,GeForce GT 640M LE,704,1474,0.83,$849.99*
440,GeForce GT 645,2005,857,,
441,GeForce GT 645M,939,1276,,
442,GeForce GT 650M,1200,1141,,
443,GeForce GT 705,350,1873,1.18,$296.76*
444,GeForce GT 710,622,1564,2.49,$249.99*
445,GeForce GT 710M,437,1801,,
446,GeForce GT 720,643,1539,6.43,$99.99*
447,GeForce GT 720A,573,1635,,
448,GeForce GT 720M,448,1792,,
449,GeForce GT 730,824,1358,8.13,$101.49
450,GeForce GT 730A,742,1438,,
451,GeForce GT 730M,812,1372,,
452,GeForce GT 735M,654,1522,,
453,GeForce GT 740,1464,1057,6.18,$236.99*
454,GeForce GT 740A,667,1507,,
455,GeForce GT 740M,792,1388,,
456,GeForce GT 745A,1237,1122,,
457,GeForce GT 745M,1097,1182,,
458,GeForce GT 750M,1329,1094,,
459,GeForce GT 755M,1713,960,,
460,GeForce GT 820M,550,1663,,
461,GeForce GT625M,451,1790,,
462,GeForce GTS 150M,504,1725,,
463,GeForce GTS 160M,678,1498,,
464,GeForce GTS 240,556,1654,8.56,$64.99*
465,GeForce GTS 250,588,1607,6.84,$86.06*
466,GeForce GTS 250M,553,1658,,
467,GeForce GTS 350M,380,1846,,
468,GeForce GTS 360M,644,1536,,
469,GeForce GTS 450,1318,1095,9.83,$134.23*
470,GeForce GTX 1050,5030,460,21.05,$239.00*
471,GeForce GTX 1050 (Mobile),4462,511,,
472,GeForce GTX 1050 3GB,5118,450,,
473,GeForce GTX 1050 Ti,6340,367,15.31,$414.16
474,GeForce GTX 1050 Ti (Mobile),5917,390,,
475,GeForce GTX 1050 Ti with Max-Q Design,5307,431,,
476,GeForce GTX 1050 with Max-Q Design,4007,540,,
477,GeForce GTX 1060,10081,245,30.57,$329.80*
478,GeForce GTX 1060 (Mobile),8160,300,,
479,GeForce GTX 1060 3GB,9800,249,41.62,$235.47*
480,GeForce GTX 1060 5GB,9087,274,18.62,$487.99*
481,GeForce GTX 1060 with Max-Q Design,7854,311,,
482,GeForce GTX 1070,13498,164,27.06,$498.77
483,GeForce GTX 1070 (Mobile),10465,236,,
484,GeForce GTX 1070 Ti,14679,143,25.75,$569.99*
485,GeForce GTX 1070 with Max-Q Design,9856,246,,
486,GeForce GTX 1080,15582,123,35.19,$442.79*
487,GeForce GTX 1080 Ti,18597,86,38.44,$483.82*
488,GeForce GTX 1080 with Max-Q Design,11422,221,,
489,GeForce GTX 1630,4979,464,26.21,$189.99*
490,GeForce GTX 1650,7879,310,28.81,$273.45
491,GeForce GTX 1650 (Mobile),6968,344,,
492,GeForce GTX 1650 SUPER,10182,241,42.43,$239.99*
493,GeForce GTX 1650 Ti,7542,327,,
494,GeForce GTX 1650 Ti with Max-Q Design,6498,361,,
495,GeForce GTX 1650 with Max-Q Design,6230,372,,
496,GeForce GTX 1660,11659,214,34.3,$339.90*
497,GeForce GTX 1660 SUPER,12708,185,36.34,$349.71
498,GeForce GTX 1660 Ti,12906,180,29.67,$435.00
499,GeForce GTX 1660 Ti (Mobile),10140,242,,
500,GeForce GTX 1660 Ti with Max-Q Design,8595,286,,
501,GeForce GTX 260,1208,1135,4.23,$285.78*
502,GeForce GTX 260M,380,1845,,
503,GeForce GTX 275,1379,1079,3.2,$431.72*
504,GeForce GTX 280,1277,1110,2.44,$522.78*
505,GeForce GTX 280M,575,1629,,
506,GeForce GTX 285,1500,1042,12.51,$119.99*
507,GeForce GTX 285M,636,1547,,
508,GeForce GTX 295,1200,1140,7.51,$159.99*
509,GeForce GTX 460,2273,783,25.26,$89.99*
510,GeForce GTX 460 SE,1990,866,12.44,$159.99*
511,GeForce GTX 460 v2,1865,910,9.33,$199.99*
512,GeForce GTX 460M,1214,1132,,
513,GeForce GTX 465,2653,701,13.61,$195.00*
514,GeForce GTX 470,3140,637,52.35,$59.99*
515,GeForce GTX 470M,1953,884,,
516,GeForce GTX 480,4121,532,24.24,$169.99*
517,GeForce GTX 480M,1617,997,,
518,GeForce GTX 485M,2359,757,,
519,GeForce GTX 550 Ti,1560,1020,15.61,$99.99*
520,GeForce GTX 555,1603,1005,,
521,GeForce GTX 560,2770,684,13.52,$205.00*
522,GeForce GTX 560 SE,1847,915,20.53,$89.99*
523,GeForce GTX 560 Ti,3067,644,23.6,$129.99*
524,GeForce GTX 560M,1274,1111,,
525,GeForce GTX 570,3921,545,26.15,$149.99*
526,GeForce GTX 570M,1877,905,,
527,GeForce GTX 580,4633,494,9.48,$488.59*
528,GeForce GTX 580M,2074,835,8.34,$248.68*
529,GeForce GTX 590,3341,605,7.68,$435.00*
530,GeForce GTX 645,1881,904,,
531,GeForce GTX 650,1749,945,12.17,$143.80*
532,GeForce GTX 650 Ti,2528,726,27.17,$93.05*
533,GeForce GTX 650 Ti BOOST,3389,600,,
534,GeForce GTX 660,4023,539,23.96,$167.95*
535,GeForce GTX 660 Ti,4408,517,30.62,$144.00*
536,GeForce GTX 660M,1444,1058,18.29,$78.99*
537,GeForce GTX 670,5343,428,27.55,$193.98*
538,GeForce GTX 670M,1745,947,,
539,GeForce GTX 670MX,1971,873,,
540,GeForce GTX 675M,1925,890,,
541,GeForce GTX 675MX,2969,656,,
542,GeForce GTX 680,5600,406,14.04,$399.00*
543,GeForce GTX 680M,3277,614,24.1,$135.99*
544,GeForce GTX 680M KY_Bullet Edition,3568,582,,
545,GeForce GTX 680MX,3686,569,,
546,GeForce GTX 690,5500,418,19.57,$280.99*
547,GeForce GTX 745,2132,818,7.49,$284.95*
548,GeForce GTX 750,3334,606,24.64,$135.29*
549,GeForce GTX 750 Ti,3899,546,44.25,$88.11*
550,GeForce GTX 760,4807,478,32.26,$149.00*
551,GeForce GTX 760 Ti,5317,430,17.87,$297.50*
552,GeForce GTX 760 Ti OEM,5427,423,,
553,GeForce GTX 760A,1226,1130,,
554,GeForce GTX 760M,1711,962,,
555,GeForce GTX 765M,2009,854,10.78,$186.30*
556,GeForce GTX 770,5941,387,23.86,$249.00*
557,GeForce GTX 770M,2798,678,20.28,$138.00*
558,GeForce GTX 775M,3688,568,,
559,GeForce GTX 780,7990,306,28.54,$279.99*
560,GeForce GTX 780 Ti,9459,262,27.82,$339.99*
561,GeForce GTX 780M,3807,557,7.63,$499.00*
562,GeForce GTX 850A,1049,1209,,
563,GeForce GTX 850M,2522,728,,
564,GeForce GTX 850M - MODDED,1091,1185,,
565,GeForce GTX 860M,3081,643,27.03,$114.00*
566,GeForce GTX 870M,3503,591,,
567,GeForce GTX 880M,3817,556,,
568,GeForce GTX 950,5344,427,37.64,$141.99*
569,GeForce GTX 950A,2593,710,,
570,GeForce GTX 950M,2574,713,4.54,$567.00*
571,GeForce GTX 960,6115,382,35.55,$172.00*
572,GeForce GTX 960A,3464,595,,
573,GeForce GTX 960M,3364,603,2.88,"$1,169.00*"
574,GeForce GTX 965M,3829,555,,
575,GeForce GTX 970,9642,254,40.52,$237.99*
576,GeForce GTX 970M,5689,400,27.09,$209.99*
577,GeForce GTX 970XM FORCE,6706,352,,
578,GeForce GTX 980,11112,225,44.93,$247.35*
579,GeForce GTX 980 Ti,13741,156,21.32,$644.61*
580,GeForce GTX 980M,7351,333,25.35,$289.99*
581,GeForce GTX Titan,8195,298,11.0,$745.00*
582,GeForce GTX TITAN Black,9184,270,6.56,"$1,399.99"
583,GeForce GTX TITAN X,12773,184,11.64,"$1,096.99*"
584,GeForce GTX TITAN Z,8904,278,5.88,"$1,515.00*"
585,GeForce MX110,1417,1072,,
586,GeForce MX130,1818,927,,
587,GeForce MX150,2260,789,38.12,$59.29*
588,GeForce MX230,1829,924,,
589,GeForce MX250,2389,747,,
590,GeForce MX330,2387,749,,
591,GeForce MX350,2810,676,,
592,GeForce MX450,3741,564,,
593,GeForce MX550,4544,499,,
594,GeForce MX570,5795,394,,
595,GeForce MX570 A,6194,375,,
596,GeForce PCX 5300,6,2565,,
597,GeForce PCX 5750,34,2443,,
598,GeForce PCX 5900,34,2449,,
599,GeForce RTX 2050,7758,314,,
600,GeForce RTX 2060,14116,150,38.24,$369.19
601,GeForce RTX 2060 (Mobile),11352,222,,
602,GeForce RTX 2060 12GB,15925,115,,
603,GeForce RTX 2060 SUPER,16463,107,41.16,$399.99*
